date,demand_pressure_index,hotel_occupancy_rate,occupancy_norm,temp_avg,precip_mm,is_rainy,is_hot,is_cold,day_name,week_of_year,month,month_name,season,is_weekend,is_fri_sat,is_holiday,holiday_name
2023-01-01,52.787975440708564,0.49901349554916113,0.04469938601771428,16.1,18.4,1,0,0,Sunday,52,1,January,Winter,1,0,1,Ano Novo
2023-01-02,46.78797544070857,0.49901349554916113,0.04469938601771428,11.6,0.1,0,0,0,Monday,1,1,January,Winter,0,0,0,
2023-01-03,46.78797544070857,0.49901349554916113,0.04469938601771428,10.7,0.0,0,0,0,Tuesday,1,1,January,Winter,0,0,0,
2023-01-04,46.78797544070857,0.49901349554916113,0.04469938601771428,10.7,0.0,0,0,0,Wednesday,1,1,January,Winter,0,0,0,
2023-01-05,46.78797544070857,0.49901349554916113,0.04469938601771428,10.6,0.0,0,0,0,Thursday,1,1,January,Winter,0,0,0,
2023-01-06,52.787975440708564,0.49901349554916113,0.04469938601771428,11.4,0.0,0,0,0,Friday,1,1,January,Winter,0,1,0,
2023-01-07,49.787975440708564,0.49901349554916113,0.04469938601771428,15.4,9.1,1,0,0,Saturday,1,1,January,Winter,1,1,0,
2023-01-08,43.78797544070857,0.49901349554916113,0.04469938601771428,16.2,4.0,1,0,0,Sunday,1,1,January,Winter,1,0,0,
2023-01-09,37.78797544070857,0.49901349554916113,0.04469938601771428,15.3,1.3,1,0,0,Monday,2,1,January,Winter,0,0,0,
2023-01-10,46.78797544070857,0.49901349554916113,0.04469938601771428,14.9,0.8,0,0,0,Tuesday,2,1,January,Winter,0,0,0,
2023-01-11,37.78797544070857,0.49901349554916113,0.04469938601771428,14.2,2.3,1,0,0,Wednesday,2,1,January,Winter,0,0,0,
2023-01-12,46.78797544070857,0.49901349554916113,0.04469938601771428,11.3,0.0,0,0,0,Thursday,2,1,January,Winter,0,0,0,
2023-01-13,52.787975440708564,0.49901349554916113,0.04469938601771428,11.9,0.0,0,0,0,Friday,2,1,January,Winter,0,1,0,
2023-01-14,58.78797544070857,0.49901349554916113,0.04469938601771428,12.4,0.1,0,0,0,Saturday,2,1,January,Winter,1,1,0,
2023-01-15,52.787975440708564,0.49901349554916113,0.04469938601771428,12.1,0.3,0,0,0,Sunday,2,1,January,Winter,1,0,0,
2023-01-16,46.78797544070857,0.49901349554916113,0.04469938601771428,13.9,0.8,0,0,0,Monday,3,1,January,Winter,0,0,0,
2023-01-17,37.78797544070857,0.49901349554916113,0.04469938601771428,13.0,1.8,1,0,0,Tuesday,3,1,January,Winter,0,0,0,
2023-01-18,46.78797544070857,0.49901349554916113,0.04469938601771428,10.7,0.2,0,0,0,Wednesday,3,1,January,Winter,0,0,0,
2023-01-19,46.78797544070857,0.49901349554916113,0.04469938601771428,11.3,0.8,0,0,0,Thursday,3,1,January,Winter,0,0,0,
2023-01-20,52.787975440708564,0.49901349554916113,0.04469938601771428,14.3,0.6,0,0,0,Friday,3,1,January,Winter,0,1,0,
2023-01-21,58.78797544070857,0.49901349554916113,0.04469938601771428,14.1,0.0,0,0,0,Saturday,3,1,January,Winter,1,1,0,
2023-01-22,52.787975440708564,0.49901349554916113,0.04469938601771428,10.2,0.0,0,0,0,Sunday,3,1,January,Winter,1,0,0,
2023-01-23,43.78797544070857,0.49901349554916113,0.04469938601771428,9.1,0.0,0,0,1,Monday,4,1,January,Winter,0,0,0,
2023-01-24,43.78797544070857,0.49901349554916113,0.04469938601771428,8.4,0.0,0,0,1,Tuesday,4,1,January,Winter,0,0,0,
2023-01-25,43.78797544070857,0.49901349554916113,0.04469938601771428,7.8,0.0,0,0,1,Wednesday,4,1,January,Winter,0,0,0,
2023-01-26,43.78797544070857,0.49901349554916113,0.04469938601771428,8.7,0.2,0,0,1,Thursday,4,1,January,Winter,0,0,0,
2023-01-27,49.78797544070858,0.49901349554916113,0.04469938601771428,9.5,0.0,0,0,1,Friday,4,1,January,Winter,0,1,0,
