year,month,month_name,season,avg_pressure,peak_pressure,avg_occupancy,avg_temp,holiday_days
2023,1,January,Winter,47.75571737619244,58.78797544070857,0.4990134955491609,11.574193548387097,1.0
2023,2,February,Winter,57.82863498694506,68.8643492726593,0.6054235137127556,11.132142857142856,0.0
2023,3,March,Spring,69.95146468090364,80.20952919703268,0.7252325662504678,14.038709677419355,0.0
2023,4,April,Spring,79.67461812103548,90.57461812103548,0.8030104712041888,17.696666666666662,3.0
2023,5,May,Spring,84.59772573633138,94.08159670407328,0.8717264320010825,19.04193548387096,1.0
2023,6,June,Summer,78.93576132862579,92.23576132862574,0.8205527222004274,21.820000000000004,2.0
2023,7,July,Summer,76.79619955355442,85.31232858581248,0.7791199055553573,22.125806451612906,0.0
2023,8,August,Summer,76.93005593746543,87.09134626004607,0.797906951985521,23.78387096774193,1.0
2023,9,September,Autumn,83.26942721389338,95.16942721389334,0.8832143011730081,20.986666666666668,0.0
2023,10,October,Autumn,79.8938671536218,92.66806070200889,0.8567989993588332,20.00322580645161,1.0
2023,11,November,Autumn,68.29516698940127,79.19516698940127,0.7145205479452058,15.636666666666667,1.0
2023,12,December,Winter,52.29866219923719,64.58898477988232,0.5285931300117874,12.05806451612903,3.0
2024,1,January,Winter,44.903225806451616,56.99999999999999,0.480131851984233,13.106451612903227,1.0
2024,2,February,Winter,59.83671603099558,71.009129824099,0.6280731435539938,14.206896551724139,0.0
2024,3,March,Spring,70.75576406768606,82.36866729349252,0.7480338167691299,13.832258064516127,2.0
2024,4,April,Spring,78.25540172545287,88.25540172545287,0.810199783244382,16.6,1.0
2024,5,May,Spring,84.99979573272616,93.70947315208096,0.8677966776482763,17.60322580645161,2.0
2024,6,June,Summer,80.74891961928569,91.04891961928567,0.8397003054342703,19.59,1.0
2024,7,July,Summer,76.32216958237507,86.38668571140732,0.7904654910958844,22.383870967741935,0.0
2024,8,August,Summer,79.63568228277161,88.2485855085781,0.8101278016194894,22.76451612903226,1.0
2024,9,September,Autumn,86.6,97.0,0.902545787545787,20.48333333333334,0.0
2024,10,October,Autumn,82.65516301344219,97.65516301344215,0.8777834920522319,18.62903225806452,1.0
2024,11,November,Autumn,72.14847165088956,83.04847165088958,0.7552127876196298,16.279999999999998,1.0
2024,12,December,Winter,52.99562322996943,65.57626839125976,0.5390191889067214,12.180645161290322,3.0
